name,trial,region,quest,quest_location
Keo Ruug,Fateful Stars,Woodland
Ketoh Wawai,Ketoh Wawai's Blessing,Woodland,Shrouded Shrine,Thyphlo Ruins
Korgu Chideh,Korgu Chideh's Blessing,Faron,Stranded on Eventide,Eventide Island
Korsh O'hu,Korsh O'hu's Blessing,Wasteland,The Seven Heroines,Gerudo Town
Kuh Takkar,Melting Ice Hazard,Gerudo
Kuhn Sidajj,Kuhn Sidajj's Blessing,Woodland,Trial of Second Sight,Korok Forest
Lakna Rokee,Lakna Rokee's Blessing,Dueling Peaks,The Stolen Heirloom,Kakariko Village
Lanno Kooh,Lanno Kuh's Blessing,Hebra
Maag Halan,Maag Halan's Blessing,Woodland,The Test of Wood,Korok Forest
Maag No'rah,Maag No'rah's Blessing,Ridgeland
Maka Rah,Steady Thy Heart,Hebra
Mezza Lo,Ancient Trifecta,Hateno,The Crowned Beast,Rabia Plain
Mijah Rokee,A Modest Test of Strength,Ridgeland,Under a Red Moon,Hyrule Ridge
Mirro Shaz,Temper Power,Woodland
Misae Suma,Misae Suma's Blessing,Wasteland,The Perfect Drink,East Barrens
Mo'a Keet,Metal Makes a Path,Eldin
Mogg Latan,Synced Swing,Ridgeland
Monya Toma,Drawing Parabolas,Woodland
Mozo Shenno,A Major Test of Strength,Hebra,The Bird in the Mountains,Rito Village
Muwo Jeem,A Modest Test of Strength,Faron
Myahm Agana,Myahm Agana Apparatus,Hateno
Namika Ozz,A Modest Test of Strength,Central
Ne'ez Yohma,Pushing Power,Lanayru
Noya Neha,A Minor Test of Strength,Central
Oman Au,Magnesis Trial,Great Plateau
Owa Daim,Stasis Trial,Great Plateau
Pumaag Nitae,A Minor Test of Strength,Lake
Qaza Tokki,Qaza Tokki's Blessing,Hebra,Trial on the Cliff,North Lomei Labyrinth
Qua Raym,A Balanced Approach,Eldin
Qukah Nata,Qukah Nata's Blessing,Faron,A Song of Storms,Calora Lake
Raqa Zunzo,Raqa Zunzo's Blessing,Wasteland,The Undefeated Champ,Sand Seal Rally
Ree Dahee,Timing is Critical,Dueling Peaks
Rin Oyaa,Directing the Wind,Hebra
Ritaag Zumo,Ritaag Zumo's Blessing,Akkala,Into the Vortex,Rist Pininsula
Rok Uwog,Power of Reach,Hebra
Rona Kachta,Rona Kachta's Blessing,Woodland
Rota Ooh,Passing of the Gates,Central
Rucco Maag,Five Flames,Lanayru
Saas Ko'sah,A Major Test of Strength,Central
Sah Dahaj,Power of Fire,Eldin
Sasa Kai,A Modest Test of Strength,Gerudo,Sign of the Shadow,Gerudo Tower
Sha Gehma,Shift and Lock,Hebra
Sha Warvo,Path of Hidden Winds,Tabantha
Shada Naw,Red Giveaway,Hebra
Shae Katha,Shae Katha's Blessing,Lake,The Serpent's Jaws,Pagos Woods
Shae Loya,Aim for the Moment,Ridgeland
Shae Mo'sah,Swinging Flames,Eldin
Shai Utoh,Halt the Tilt,Faron
Shai Yota,Shai Yota's Blessing,Lanayru,Master of the Wind,Horon Lagoon
Shee Vaneer,Twin Memories,Dueling Peaks
Shee Venath,Twin Memories,Dueling Peaks
Sheem Dagoze,Moving in Parallel,Ridgeland,The Two Rings,West Hyrule Plains
Sheh Rata,Speed of Light,Lanayru
Sho Dantu,Two Bombs,Gerudo
Shoda Sah,Impeccable Timing,Faron
Shoqa Tatone,A Modest Test of Strength,Lake,Guardian Slideshow,Puffer Beach
Shora Hah,Blue Flame,Eldin
Soh Kofi,A Minor Test of Strength,Lanayru
Suma Sahma,Suma Sahma's Blessing,Wasteland,Secret of the Snowy Peaks,Mount Granajh
Ta'Loh Naeg,Ta'loh Naeg's Teaching,Dueling Peaks
Tah Muhl,Passing the Flame,Eldin,A Landscape of a Stable,Foothill Stable
Tahno O'ah,Tahno O'ah's Blessing,Hateno,Secret of the Cedars,Hateno Village
Tawa Jinn,Tawa Jinn's Blessing,Faron,The Three Giant Brothers,Mount Taran
Tena Ko'sah,A Major Test of Strength,Tabantha
Tho Kayu,Tho Kayu's Blessing,Wasteland
To Quomo Shrine,To Quomo's Blessing,Hebra
Toh Yahsa,Buried Secrets,Ridgeland,Trial of Thunder,Thundra Plateau
Toto Sah,Toto Sah Apparatus,Dueling Peaks
Tu Ka'loh,Tu Ka'loh's Blessing,Akkala,Trial of the Labyrinth,Lomei Labrinth Island
Tutsuwa Nima,A Major Test of Strength,Akkala,The Spring of Power,East Akkala Stable
Voo Lota,The Winding Route,Tabantha,Recital at Warbler's Nest,Rito Village
Wahgo Katta,Metal Connections,Central
Ya Naga,Shatter the Heavens,Lake
Yah Rin,A Weighty Decision,Faron
Zalta Wa,Two Orbs to Guide You,Ridgeland
Ze Kasho,Ze Kasho Apparatus,Akkala
Zuna Kai,Zuna Kai's Blessing,Akkala,The Skull's Eye,Akkala Ancient Tech Lab
